#Short name;Full name;First address;Subnet mask

DMZ; Demilitarized zone servers; 10.1.0.1; 255.255.248.0
APH; Access point hardware; 10.1.4.1; 255.255.248.0
COR; Corporate building wired network; 10.1.8.1; 255.255.248.0
CORSC; Corporate building security cameras; 10.1.12.1; 255.255.248.0
CORGW; Corporate building guest wifi; 10.1.16.1; 255.255.248.0
CORSW; Corporate building secure wifi; 10.1.20.1; 255.255.248.0
EBR; East branch wired network; 10.1.24.1; 255.255.248.0
EBRSC; East branch security cameras; 10.1.28.1; 255.255.248.0
EBRGW; East branch guest wifi; 10.1.32.1; 255.255.248.0
EBRSW; East branch secure wifi; 10.1.36.1; 255.255.248.0
